色号,库存
A1,1000
A2,1000
A3,1000
A4,1000
A5,1000
A6,1000
A7,1000
A8,1000
A9,1000
A10,1000
A11,1000
A12,1000
A13,1000
A14,1000
A15,1000
A16,1000
A17,1000
A18,1000
A19,1000
A20,1000
A21,1000
A22,1000
A23,1000
A24,1000
A25,1000
A26,1000
B1,1000
B2,1000
B3,1000
B4,1000
B5,1000
B6,1000
B7,1000
B8,1000
B9,1000
B10,1000
B11,1000
B12,1000
B13,1000
B14,1000
B15,1000
B16,1000
B17,1000
B18,1000
B19,1000
B20,1000
B21,1000
B22,1000
B23,1000
B24,1000
B25,1000
B26,1000
B27,1000
B28,1000
B29,1000
B30,1000
B31,1000
B32,1000
C1,1000
C2,1000
C3,1000
C4,1000
C5,1000
C6,1000
C7,1000
C8,1000
C9,1000
C10,1000
C11,1000
C12,1000
C13,1000
C14,1000
C15,1000
C16,1000
C17,1000
C18,1000
C19,1000
C20,1000
C21,1000
C22,1000
C23,1000
C24,1000
C25,1000
C26,1000
C27,1000
C28,1000
C29,1000
D1,1000
D2,1000
D3,1000
D4,1000
D5,1000
D6,1000
D7,1000
D8,1000
D9,1000
D10,1000
D11,1000
D12,1000
D13,1000
D14,1000
D15,1000
D16,1000
D17,1000
D18,1000
D19,1000
D20,1000
D21,1000
D22,1000
D23,1000
D24,1000
D25,1000
D26,1000
E1,1000
E2,1000
E3,1000
E4,1000
E5,1000
E6,1000
E7,1000
E8,1000
E9,1000
E10,1000
E11,1000
E12,1000
E13,1000
E14,1000
E15,1000
E16,1000
E17,1000
E18,1000
E19,1000
E20,1000
E21,1000
E22,1000
E23,1000
E24,1000
F1,1000
F2,1000
F3,1000
F4,1000
F5,1000
F6,1000
F7,1000
F8,1000
F9,1000
F10,1000
F11,1000
F12,1000
F13,1000
F14,1000
F15,1000
F16,1000
F17,1000
F18,1000
F19,1000
F20,1000
F21,1000
F22,1000
F23,1000
F24,1000
F25,1000
G1,1000
G2,1000
G3,1000
G4,1000
G5,1000
G6,1000
G7,1000
G8,1000
G9,1000
G10,1000
G11,1000
G12,1000
G13,1000
G14,1000
G15,1000
G16,1000
G17,1000
G18,1000
G19,1000
G20,1000
G21,1000
H1,1000
H2,1000
H3,1000
H4,1000
H5,1000
H6,1000
H7,1000
H8,1000
H9,1000
H10,1000
H11,1000
H12,1000
H13,1000
H14,1000
H15,1000
H16,1000
H17,1000
H18,1000
H19,1000
H20,1000
H21,1000
H22,1000
H23,1000
M1,1000
M2,1000
M3,1000
M4,1000
M5,1000
M6,1000
M7,1000
M8,1000
M9,1000
M10,1000
M11,1000
M12,1000
M13,1000
M14,1000
M15,1000
P1,0
P2,0
P3,0
P4,0
P5,0
P6,0
P7,0
P8,0
P9,0
P10,0
P11,0
P12,0
P13,0
P14,0
P15,0
P16,0
P17,0
P18,0
P19,0
P20,0
P21,0
P22,0
P23,0
Q1,0
Q2,0
Q3,0
Q4,0
Q5,0
R1,0
R2,0
R3,0
R4,0
R5,0
R6,0
R7,0
R8,0
R9,0
R10,0
R11,0
R12,0
R13,0
R14,0
R15,0
R16,0
R17,0
R18,0
R19,0
R20,0
R21,0
R22,0
R23,0
R24,0
R25,0
R26,0
R27,0
R28,0
T1,0
Y1,0
Y2,0
Y3,0
Y4,0
Y5,0
ZG1,0
ZG2,0
ZG3,0
ZG4,0
ZG5,0
ZG6,0
ZG7,0
ZG8,0
